Country,YEAR(first_invoices_time),DAY(first_invoices_time),COUNT(item_purchases),SKEW(item_purchases.Quantity),MIN(item_purchases.UnitPrice),STD(item_purchases.Quantity),MIN(item_purchases.Quantity),MEAN(item_purchases.UnitPrice),MODE(item_purchases.StockCode),WEEKDAY(first_invoices_time),MONTH(first_invoices_time),MAX(item_purchases.UnitPrice),MEAN(item_purchases.Quantity),SUM(item_purchases.UnitPrice),SUM(item_purchases.Quantity),MAX(item_purchases.Quantity),COUNT(invoices),STD(item_purchases.UnitPrice),SKEW(item_purchases.UnitPrice),NUM_UNIQUE(item_purchases.StockCode),STD(invoices.MEAN(item_purchases.Quantity)),MIN(invoices.MEAN(item_purchases.UnitPrice)),MODE(invoices.WEEKDAY(first_item_purchases_time)),MIN(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.STD(item_purchases.UnitPrice)),SUM(invoices.MIN(item_purchases.Quantity)),MODE(invoices.MONTH(first_item_purchases_time)),SUM(invoices.STD(item_purchases.UnitPrice)),STD(invoices.NUM_UNIQUE(item_purchases.StockCode)),MEAN(invoices.STD(item_purchases.UnitPrice)),SUM(invoices.MEAN(item_purchases.Quantity)),MODE(invoices.DAY(first_item_purchases_time)),SKEW(invoices.NUM_UNIQUE(item_purchases.StockCode)),MAX(invoices.MIN(item_purchases.Quantity)),MAX(invoices.STD(item_purchases.Quantity)),SUM(invoices.SKEW(item_purchases.Quantity)),MEAN(invoices.NUM_UNIQUE(item_purchases.StockCode)),MIN(invoices.COUNT(item_purchases)),STD(invoices.SUM(item_purchases.UnitPrice)),MIN(invoices.MIN(item_purchases.Quantity)),MODE(invoices.YEAR(first_item_purchases_time)),MODE(invoices.MODE(item_purchases.StockCode)),SUM(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.SKEW(item_purchases.Quantity)),SKEW(invoices.MAX(item_purchases.UnitPrice)),SUM(invoices.MEAN(item_purchases.UnitPrice)),MEAN(invoices.COUNT(item_purchases)),MIN(invoices.SUM(item_purchases.UnitPrice)),MEAN(invoices.SKEW(item_purchases.UnitPrice)),SUM(invoices.SKEW(item_purchases.UnitPrice)),MIN(invoices.STD(item_purchases.Quantity)),SKEW(invoices.SUM(item_purchases.UnitPrice)),NUM_UNIQUE(invoices.MONTH(first_item_purchases_time)),SKEW(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.SUM(item_purchases.UnitPrice)),MAX(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.SKEW(item_purchases.UnitPrice)),STD(invoices.STD(item_purchases.Quantity)),MAX(invoices.MEAN(item_purchases.Quantity)),MEAN(invoices.MIN(item_purchases.Quantity)),MEAN(invoices.MAX(item_purchases.UnitPrice)),SUM(invoices.MAX(item_purchases.UnitPrice)),MIN(invoices.MEAN(item_purchases.Quantity)),STD(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.MAX(item_purchases.UnitPrice)),MAX(invoices.SUM(item_purchases.Quantity)),SKEW(invoices.STD(item_purchases.Quantity)),STD(invoices.MAX(item_purchases.UnitPrice)),STD(invoices.MAX(item_purchases.Quantity)),STD(invoices.MEAN(item_purchases.UnitPrice)),SKEW(invoices.COUNT(item_purchases)),SUM(invoices.STD(item_purchases.Quantity)),SUM(invoices.MIN(item_purchases.UnitPrice)),NUM_UNIQUE(invoices.WEEKDAY(first_item_purchases_time)),MEAN(invoices.SUM(item_purchases.Quantity)),STD(invoices.STD(item_purchases.UnitPrice)),SKEW(invoices.SUM(item_purchases.Quantity)),SKEW(invoices.MEAN(item_purchases.UnitPrice)),MIN(invoices.SKEW(item_purchases.Quantity)),SKEW(invoices.MEAN(item_purchases.Quantity)),MEAN(invoices.MEAN(item_purchases.UnitPrice)),MIN(invoices.SUM(item_purchases.Quantity)),NUM_UNIQUE(invoices.DAY(first_item_purchases_time)),MEAN(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.MEAN(item_purchases.Quantity)),STD(invoices.SKEW(item_purchases.UnitPrice)),MIN(invoices.MAX(item_purchases.Quantity)),NUM_UNIQUE(invoices.YEAR(first_item_purchases_time)),NUM_UNIQUE(invoices.MODE(item_purchases.StockCode)),SKEW(invoices.STD(item_purchases.UnitPrice)),MIN(invoices.MAX(item_purchases.UnitPrice)),SKEW(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.STD(item_purchases.Quantity)),STD(invoices.SKEW(item_purchases.Quantity)),SUM(invoices.NUM_UNIQUE(item_purchases.StockCode)),MEAN(invoices.MIN(item_purchases.UnitPrice)),MIN(invoices.NUM_UNIQUE(item_purchases.StockCode)),MAX(invoices.MEAN(item_purchases.UnitPrice)),MIN(invoices.SKEW(item_purchases.UnitPrice)),MIN(invoices.STD(item_purchases.UnitPrice)),MAX(invoices.NUM_UNIQUE(item_purchases.StockCode)),STD(invoices.SUM(item_purchases.Quantity)),MAX(invoices.SUM(item_purchases.UnitPrice)),STD(invoices.COUNT(item_purchases)),STD(invoices.MIN(item_purchases.Quantity)),MAX(invoices.SKEW(item_purchases.Quantity)),MAX(invoices.COUNT(item_purchases)),SKEW(invoices.MIN(item_purchases.Quantity)),d3mIndex
United Kingdom,2011,28,25,0.214606538082,0.42,9.85056343566,1,4.3084,16161U,3,7,16.95,12.92,107.71,323,25,1,5.08742738916,1.18593426947,25,0.0,4.3084,3,0.42,5.08742738916,1,7,5.08742738916,0.0,5.08742738916,12.92,28,0.0,1,9.85056343566,0.214606538082,25.0,25,0.0,1,2011,16161U,25,0.214606538082,0.0,4.3084,25.0,107.71,1.18593426947,1.18593426947,9.85056343566,0.0,1,0.0,25,107.71,0.42,1.18593426947,0.0,12.92,1.0,16.95,16.95,12.92,0.0,16.95,323,0.0,0.0,0.0,0.0,0.0,9.85056343566,0.42,1,323.0,0.0,0.0,0.0,0.214606538082,0.0,4.3084,323,1,25.0,12.92,0.0,25,1,1,0.0,16.95,0.0,9.85056343566,0.0,25,0.42,25,4.3084,1.18593426947,5.08742738916,25,0.0,107.71,0.0,0.0,0.214606538082,25,0.0,15639.0
Finland,2011,1,300,1.30357365761,0.12,9.30907024836,-27,4.7293,POST,1,3,275.6,11.6766666667,1418.79,3503,48,12,16.860087421,14.0338167921,258,10.5936707327,3.09031578947,1,0.12,18.5787698433,1,3,82.5882324902,32.8963017172,6.88235270752,101.585597923,1,1.57684363693,10,13.9728307798,5.77376521929,25.0,1,104.349548084,-27,2011,16156S,251,0.481147101608,2.7900232515,338.33696715,25.0,4.95,1.95524998306,23.4629997967,0.0,0.884092923152,5,3.01284908497,48,118.2325,275.6,4.11205942092,4.48795535299,34.6,0.0833333333333,49.6166666667,595.4,-10.0,75.8497978601,275.6,1273,0.00436587923124,69.5746641306,17.8627094498,74.6530267176,1.57684363693,74.5044063513,289.05,5,291.916666667,5.33421194043,1.52201703493,3.00685531811,-0.703442665223,0.711899523529,28.1947472625,-30,9,20.9166666667,8.46546649361,1.491303927,-1,1,10,0.482039738573,4.95,0.111444630615,6.20870052928,0.67761076446,300,24.0875,1,275.6,0.0,0.0,98,379.398747655,304.46,32.8963017172,8.58737768795,1.74228890381,98,-2.46716090872,12428.0
United Kingdom,2011,11,25,-0.476787729898,0.42,3.87318989981,2,2.5356,21506,1,10,8.25,9.28,63.39,232,16,1,2.35053879781,1.45766165479,25,0.0,2.5356,1,0.42,2.35053879781,2,10,2.35053879781,0.0,2.35053879781,9.28,11,0.0,2,3.87318989981,-0.476787729898,25.0,25,0.0,2,2011,21506,16,-0.476787729898,0.0,2.5356,25.0,63.39,1.45766165479,1.45766165479,3.87318989981,0.0,1,0.0,16,63.39,0.42,1.45766165479,0.0,9.28,2.0,8.25,8.25,9.28,0.0,8.25,232,0.0,0.0,0.0,0.0,0.0,3.87318989981,0.42,1,232.0,0.0,0.0,0.0,-0.476787729898,0.0,2.5356,232,1,16.0,9.28,0.0,16,1,1,0.0,8.25,0.0,3.87318989981,0.0,25,0.42,25,2.5356,1.45766165479,2.35053879781,25,0.0,63.39,0.0,0.0,-0.476787729898,25,0.0,12824.0
United Kingdom,2011,17,40,2.52030919072,0.19,4.60699196874,1,1.72475,22736,0,10,8.25,4.225,68.99,169,25,1,1.51360494763,2.23278853172,39,0.0,1.72475,0,0.19,1.51360494763,1,10,1.51360494763,0.0,1.51360494763,4.225,17,0.0,1,4.60699196874,2.52030919072,39.0,40,0.0,1,2011,22736,25,2.52030919072,0.0,1.72475,40.0,68.99,2.23278853172,2.23278853172,4.60699196874,0.0,1,0.0,25,68.99,0.19,2.23278853172,0.0,4.225,1.0,8.25,8.25,4.225,0.0,8.25,169,0.0,0.0,0.0,0.0,0.0,4.60699196874,0.19,1,169.0,0.0,0.0,0.0,2.52030919072,0.0,1.72475,169,1,25.0,4.225,0.0,25,1,1,0.0,8.25,0.0,4.60699196874,0.0,39,0.19,39,1.72475,2.23278853172,1.51360494763,39,0.0,68.99,0.0,0.0,2.52030919072,40,0.0,14830.0
United Kingdom,2011,7,77,4.52055110181,0.39,4.33812891184,1,1.99922077922,23154,2,12,8.5,3.45454545455,153.94,266,32,1,1.69489207122,1.97008442421,67,0.0,1.99922077922,2,0.39,1.69489207122,1,12,1.69489207122,0.0,1.69489207122,3.45454545455,7,0.0,1,4.33812891184,4.52055110181,67.0,77,0.0,1,2011,23154,32,4.52055110181,0.0,1.99922077922,77.0,153.94,1.97008442421,1.97008442421,4.33812891184,0.0,1,0.0,32,153.94,0.39,1.97008442421,0.0,3.45454545455,1.0,8.5,8.5,3.45454545455,0.0,8.5,266,0.0,0.0,0.0,0.0,0.0,4.33812891184,0.39,1,266.0,0.0,0.0,0.0,4.52055110181,0.0,1.99922077922,266,1,32.0,3.45454545455,0.0,32,1,1,0.0,8.5,0.0,4.33812891184,0.0,67,0.39,67,1.99922077922,1.97008442421,1.69489207122,67,0.0,153.94,0.0,0.0,4.52055110181,77,0.0,15471.0
United Kingdom,2011,18,35,1.40591766534,0.29,6.23970171972,1,6.14285714286,82484,4,3,85.0,7.54285714286,215.0,264,24,2,13.8621848559,5.24209204483,33,1.7619047619,4.05285714286,2,0.29,17.6057067253,3,3,20.4655829178,3.5,10.2327914589,14.380952381,9,0.0,2,7.29955113086,1.56842004745,17.5,14,50.76,1,2011,20749,36,0.784210023725,-2.753962697e-16,11.589047619,17.5,56.74,2.33460988119,4.66921976239,3.15581743348,0.0,2,3.16093927838e-16,24,107.5,0.85,4.03233734639,2.07186684869,8.95238095238,1.5,47.475,94.95,5.42857142857,0.28,85.0,188,0.0,37.525,6.0,1.74166666667,0.0,10.4553685643,1.14,2,132.0,7.37291526637,0.0,0.0,0.599149983288,0.0,5.79452380952,76,2,18.0,7.19047619048,1.6977274652,12,1,2,0.0,9.95,0.0,5.22768428217,0.185060040438,35,0.57,14,7.53619047619,0.636882415996,2.85987619255,21,56.0,158.26,3.5,0.5,0.969270064163,21,0.0,13046.0
United Kingdom,2010,9,310,4.63587534134,0.12,11.9738268159,-12,2.57270967742,22629,3,12,12.5,13.4193548387,797.54,4160,144,27,2.51605741503,1.7129199194,141,9.09583341561,0.85,3,0.12,3.68236668146,92,1,43.247620491,6.59612888926,1.60176372189,329.058361697,3,0.613149715429,12,47.3708771293,19.7686130166,11.4814814815,1,22.4621054888,-12,2011,21871,810,0.732170852468,0.490927539931,64.3651660536,11.4814814815,0.85,0.698946234351,18.8715483275,0.0,0.885462943131,11,1.4703074114,144,29.5385185185,2.25,2.05712864414,8.43279334901,42.0,3.40740740741,5.55592592593,150.01,-8.0,0.548638669413,12.5,362,3.51471515576,3.25252524033,26.9402631349,1.0396002875,0.613149715429,227.242508913,17.75,6,154.074074074,1.17903395391,-0.264293735627,0.853507161902,0.0,0.304928551701,2.38389503902,-24,16,30.0,12.1873467295,0.694930258654,-6,2,17,0.369588389926,0.85,2.59031743996,8.41638921902,0.622362562303,310,0.657407407407,1,4.71666666667,-0.482366482473,0.0,31,92.5646624542,85.04,6.59612888926,5.59271523044,2.42049730372,31,-0.663754917762,13102.0
United Kingdom,2010,6,83,2.124420435,0.42,16.6387068906,-3,3.10156626506,21086,0,12,9.95,14.8554216867,257.43,1233,96,7,2.54526751117,0.930224628744,60,8.98344874904,1.65,1,0.42,2.66162283412,8,12,13.6761075668,5.40974177965,1.9537296524,90.7847222222,6,-0.869123445175,2,26.2567451651,8.21217249715,11.8571428571,1,22.6290406697,-3,2011,21080,291,1.17316749959,-1.49072500943,20.223125,11.8571428571,1.65,0.9666802132,6.7667614924,0.0,0.0833137979006,6,1.07721738753,96,36.7757142857,1.65,2.4066557601,7.47832241372,27.5,1.14285714286,7.4,51.8,-3.0,0.427508204958,9.95,330,0.195825052347,2.52600757832,27.3279404005,1.14384844703,-0.869123445175,87.6036518897,5.62,5,176.142857143,0.827742383243,-0.137583494024,0.679982726022,0.0,-0.177736936676,2.88901785714,-3,7,41.5714285714,12.9692460317,0.835728194333,-3,2,4,-1.74466460524,1.65,0.499310986838,12.5148074128,0.612911933494,83,0.802857142857,1,5.0125,0.0,0.0,18,106.319503078,71.55,5.40974177965,1.7261494248,2.08433282007,18,-1.88762165003,17519.0
United Kingdom,2010,8,17,-0.334573649447,0.65,140.756974788,-408,2.04705882353,18097C,2,12,4.95,15.9411764706,34.8,271,408,6,1.0914359926,0.840041371333,14,235.822161838,1.06,0,0.65,1.05328949012,32,1,2.674674943,1.57233018868,0.445779157167,76.25,4,0.019056141663,408,19.0,1.15309491366,2.83333333333,1,4.59156109981,-408,2011,18097C,142,0.19218248561,0.793582240635,10.6625,2.83333333333,1.06,0.18428599629,1.10571597774,0.0,0.379182524272,6,0.509200445383,408,5.8,2.08,1.04822900081,8.20784858761,408.0,5.33333333333,2.42,14.52,-408.0,0.54273228514,4.95,408,0.449435443615,1.33033830284,236.492189206,0.835085345771,0.019056141663,47.5020944408,7.65,6,45.1666666667,0.370923264349,-0.546697825444,0.78622709076,0.0,-0.161287725701,1.77708333333,-408,6,23.6666666667,12.7083333333,0.566820165628,-408,2,3,0.190242516793,1.06,-0.297835945897,7.91701574014,0.429733101909,17,1.275,1,3.2325,-0.689254477115,0.0,5,239.164111485,12.93,1.57233018868,235.603244648,1.15309491366,5,-0.0678840454837,13984.0
United Kingdom,2011,1,68,0.883191324495,0.29,5.34248736828,2,4.05205882353,21136,1,2,16.95,8.54411764706,275.54,581,24,3,3.51021097021,1.42063661898,55,0.547327574105,2.26555555556,1,0.29,3.92613744626,8,5,8.26608315499,11.0252236057,2.75536105166,26.3985507246,24,-0.045322918211,4,6.30965358756,0.432049378584,22.6666666667,9,60.9034614962,2,2011,21136,52,0.144016459528,-0.392086611614,10.7021980676,22.6666666667,20.39,1.01207441083,3.0362232325,2.94811092476,0.144805558392,2,-0.200700187209,24,91.8466666667,1.25,1.53005021707,1.38323966093,9.55555555556,2.66666666667,11.2833333333,33.85,8.27777777778,0.39372861494,16.95,298,0.260170873853,5.3274968064,4.9888765157,1.0012152216,-0.045322918211,13.5190777102,2.39,1,193.666666667,1.13217926295,-0.0576925077284,-0.247941650898,-0.654416668345,0.563672457869,3.56739935588,86,2,17.3333333333,8.79951690821,0.453251634561,12,1,2,-0.445337278057,4.15,0.381801774161,4.50635923672,0.743394748385,68,0.796666666667,9,4.70055555556,0.426082892348,1.22408343135,36,86.580726621,169.22,11.0252236057,0.942809041582,1.13554378069,36,0.707106781187,18202.0
