Country,YEAR(first_invoices_time),DAY(first_invoices_time),COUNT(item_purchases),SKEW(item_purchases.Quantity),MIN(item_purchases.UnitPrice),STD(item_purchases.Quantity),MIN(item_purchases.Quantity),MEAN(item_purchases.UnitPrice),MODE(item_purchases.StockCode),WEEKDAY(first_invoices_time),MONTH(first_invoices_time),MAX(item_purchases.UnitPrice),MEAN(item_purchases.Quantity),SUM(item_purchases.UnitPrice),SUM(item_purchases.Quantity),MAX(item_purchases.Quantity),COUNT(invoices),STD(item_purchases.UnitPrice),SKEW(item_purchases.UnitPrice),NUM_UNIQUE(item_purchases.StockCode),STD(invoices.MEAN(item_purchases.Quantity)),MIN(invoices.MEAN(item_purchases.UnitPrice)),MODE(invoices.WEEKDAY(first_item_purchases_time)),MIN(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.STD(item_purchases.UnitPrice)),SUM(invoices.MIN(item_purchases.Quantity)),MODE(invoices.MONTH(first_item_purchases_time)),SUM(invoices.STD(item_purchases.UnitPrice)),STD(invoices.NUM_UNIQUE(item_purchases.StockCode)),MEAN(invoices.STD(item_purchases.UnitPrice)),SUM(invoices.MEAN(item_purchases.Quantity)),MODE(invoices.DAY(first_item_purchases_time)),SKEW(invoices.NUM_UNIQUE(item_purchases.StockCode)),MAX(invoices.MIN(item_purchases.Quantity)),MAX(invoices.STD(item_purchases.Quantity)),SUM(invoices.SKEW(item_purchases.Quantity)),MEAN(invoices.NUM_UNIQUE(item_purchases.StockCode)),MIN(invoices.COUNT(item_purchases)),STD(invoices.SUM(item_purchases.UnitPrice)),MIN(invoices.MIN(item_purchases.Quantity)),MODE(invoices.YEAR(first_item_purchases_time)),MODE(invoices.MODE(item_purchases.StockCode)),SUM(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.SKEW(item_purchases.Quantity)),SKEW(invoices.MAX(item_purchases.UnitPrice)),SUM(invoices.MEAN(item_purchases.UnitPrice)),MEAN(invoices.COUNT(item_purchases)),MIN(invoices.SUM(item_purchases.UnitPrice)),MEAN(invoices.SKEW(item_purchases.UnitPrice)),SUM(invoices.SKEW(item_purchases.UnitPrice)),MIN(invoices.STD(item_purchases.Quantity)),SKEW(invoices.SUM(item_purchases.UnitPrice)),NUM_UNIQUE(invoices.MONTH(first_item_purchases_time)),SKEW(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.SUM(item_purchases.UnitPrice)),MAX(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.SKEW(item_purchases.UnitPrice)),STD(invoices.STD(item_purchases.Quantity)),MAX(invoices.MEAN(item_purchases.Quantity)),MEAN(invoices.MIN(item_purchases.Quantity)),MEAN(invoices.MAX(item_purchases.UnitPrice)),SUM(invoices.MAX(item_purchases.UnitPrice)),MIN(invoices.MEAN(item_purchases.Quantity)),STD(invoices.MIN(item_purchases.UnitPrice)),MAX(invoices.MAX(item_purchases.UnitPrice)),MAX(invoices.SUM(item_purchases.Quantity)),SKEW(invoices.STD(item_purchases.Quantity)),STD(invoices.MAX(item_purchases.UnitPrice)),STD(invoices.MAX(item_purchases.Quantity)),STD(invoices.MEAN(item_purchases.UnitPrice)),SKEW(invoices.COUNT(item_purchases)),SUM(invoices.STD(item_purchases.Quantity)),SUM(invoices.MIN(item_purchases.UnitPrice)),NUM_UNIQUE(invoices.WEEKDAY(first_item_purchases_time)),MEAN(invoices.SUM(item_purchases.Quantity)),STD(invoices.STD(item_purchases.UnitPrice)),SKEW(invoices.SUM(item_purchases.Quantity)),SKEW(invoices.MEAN(item_purchases.UnitPrice)),MIN(invoices.SKEW(item_purchases.Quantity)),SKEW(invoices.MEAN(item_purchases.Quantity)),MEAN(invoices.MEAN(item_purchases.UnitPrice)),MIN(invoices.SUM(item_purchases.Quantity)),NUM_UNIQUE(invoices.DAY(first_item_purchases_time)),MEAN(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.MEAN(item_purchases.Quantity)),STD(invoices.SKEW(item_purchases.UnitPrice)),MIN(invoices.MAX(item_purchases.Quantity)),NUM_UNIQUE(invoices.YEAR(first_item_purchases_time)),NUM_UNIQUE(invoices.MODE(item_purchases.StockCode)),SKEW(invoices.STD(item_purchases.UnitPrice)),MIN(invoices.MAX(item_purchases.UnitPrice)),SKEW(invoices.MAX(item_purchases.Quantity)),MEAN(invoices.STD(item_purchases.Quantity)),STD(invoices.SKEW(item_purchases.Quantity)),SUM(invoices.NUM_UNIQUE(item_purchases.StockCode)),MEAN(invoices.MIN(item_purchases.UnitPrice)),MIN(invoices.NUM_UNIQUE(item_purchases.StockCode)),MAX(invoices.MEAN(item_purchases.UnitPrice)),MIN(invoices.SKEW(item_purchases.UnitPrice)),MIN(invoices.STD(item_purchases.UnitPrice)),MAX(invoices.NUM_UNIQUE(item_purchases.StockCode)),STD(invoices.SUM(item_purchases.Quantity)),MAX(invoices.SUM(item_purchases.UnitPrice)),STD(invoices.COUNT(item_purchases)),STD(invoices.MIN(item_purchases.Quantity)),MAX(invoices.SKEW(item_purchases.Quantity)),MAX(invoices.COUNT(item_purchases)),SKEW(invoices.MIN(item_purchases.Quantity)),d3mIndex
United Kingdom,2010,1,14,0.654393198081,0.42,4.04313477088,1,5.22214285714,21055,2,12,12.75,5.28571428571,73.11,74,12,1,3.7710517263,0.577172099676,14,0.0,5.22214285714,2,0.42,3.7710517263,1,12,3.7710517263,0.0,3.7710517263,5.28571428571,1,0.0,1,4.04313477088,0.654393198081,14.0,14,0.0,1,2010,21055,12,0.654393198081,0.0,5.22214285714,14.0,73.11,0.577172099676,0.577172099676,4.04313477088,0.0,1,0.0,12,73.11,0.42,0.577172099676,0.0,5.28571428571,1.0,12.75,12.75,5.28571428571,0.0,12.75,74,0.0,0.0,0.0,0.0,0.0,4.04313477088,0.42,1,74.0,0.0,0.0,0.0,0.654393198081,0.0,5.22214285714,74,1,12.0,5.28571428571,0.0,12,1,1,0.0,12.75,0.0,4.04313477088,0.0,14,0.42,14,5.22214285714,0.577172099676,3.7710517263,14,0.0,73.11,0.0,0.0,0.654393198081,14,0.0,13065.0
United Kingdom,2011,4,27,2.02235281869,0.79,10.2089285541,1,3.46518518519,22649,2,5,15.0,12.0,93.56,324,48,5,3.49285871497,2.57806306228,17,2.6770847138,2.25555555556,6,0.79,4.70495394947,18,5,11.6073433863,2.57681974535,2.32146867725,57.3253968254,19,-0.0252482701133,8,13.4035189778,0.491370452135,5.4,2,8.93844594994,1,2011,22649,120,0.0982740904271,0.348238967927,17.9148412698,5.4,7.9,0.649954381383,3.24977190692,2.0,-0.129388081796,5,0.230987741529,48,18.712,2.95,1.73418865249,4.63281904375,16.7142857143,3.6,8.57,42.85,9.5,0.965766017211,15.0,117,0.429318485511,5.30062260494,15.1789327688,0.886411172051,-0.0252482701133,33.2940011912,9.03,4,64.8,1.98674470547,0.193414347482,-0.191523447218,-1.36972690714,1.3626071044,3.58296825397,20,3,24.0,11.4650793651,1.02375177148,12,1,4,0.275310047205,2.95,0.592927061282,6.65880023825,1.21604405333,27,1.806,2,4.805,-1.0,4.4408920985e-16,9,38.0599527062,28.83,2.57681974535,2.87054001888,2.22434582288,9,0.505300545316,13524.0
United Kingdom,2011,4,23,0.283686805861,0.19,6.67897414669,-3,1.66739130435,23322,4,11,5.95,12.0,38.35,276,24,2,1.23549045847,1.67730144506,22,7.84090909091,1.60909090909,3,0.19,1.23192720081,0,11,1.23192720081,10.5,0.615963600406,9.68181818182,4,0.0,3,5.99534943736,0.779280589864,11.5,1,16.225,-3,2011,20956,21,0.389640294932,0.0,4.55909090909,11.5,2.95,0.929791782449,1.8595835649,0.0,-3.1940176822e-16,1,0.0,24,19.175,2.95,1.8595835649,2.99767471868,12.6818181818,0.0,4.45,8.9,-3.0,1.38,5.95,279,0.0,1.5,13.5,0.670454545455,0.0,5.99534943736,3.14,2,138.0,0.615963600406,0.0,0.0,0.0,0.0,2.27954545455,-3,2,10.5,4.84090909091,0.929791782449,-3,1,2,0.0,2.95,0.0,2.99767471868,0.389640294932,23,1.57,1,2.95,0.0,0.0,22,141.0,35.4,10.5,3.0,0.779280589864,22,0.0,15597.0
United Kingdom,2011,25,152,2.52448044423,0.12,1.71457011887,1,2.06315789474,22996,2,5,12.5,2.18421052632,313.6,332,12,3,2.28306852061,2.86499640014,127,0.307389915786,1.54988636364,2,0.12,3.97760997289,3,5,7.22267139415,25.0377492776,2.40755713138,6.05429962402,25,0.521575663988,1,1.97020681047,6.94204816499,47.6666666667,23,23.6981804271,1,2011,20668,24,2.314016055,-0.707106781187,7.73545370192,50.6666666667,79.59,1.92222228154,5.76666684463,1.03984876027,0.412759724691,2,-0.707106781187,12,104.533333333,0.42,3.57002141454,0.394832661354,2.43181818182,1.0,10.3166666667,30.95,1.69565217391,0.141421356237,12.5,214,0.521804217976,3.08769961118,2.82842712475,1.18872780905,0.485251438817,4.28629707825,0.96,2,110.666666667,1.18865579183,0.55876861316,0.650066741716,1.68577394802,0.41920466941,2.57848456731,39,2,8.0,2.01809987467,1.18495210952,6,1,3,0.323191878587,5.95,0.707106781187,1.42876569275,0.517221882934,143,0.32,23,4.24434782609,0.834247411883,1.10238222863,82,74.8702581507,136.39,27.4023518861,0.0,2.95257755841,88,0.0,14593.0
France,2011,11,24,3.5011766391,0.42,113.873345823,1,5.18791666667,POST,1,1,20.0,75.3333333333,124.51,1808,576,6,6.60837976812,1.37648006769,11,92.3262921524,1.388,1,0.42,8.275,20,5,35.7748488628,2.08166599947,5.96247481046,525.841666667,3,0.886863621074,9,287.0,-0.897135489632,4.0,2,6.64916389898,1,2011,21212,1002,-0.149522581605,-1.55401337009,39.76675,4.0,6.94,0.672096761937,4.03258057162,19.1507180022,-1.25894677634,4,1.00286051699,576,20.7516666667,4.65,1.91497388678,95.7462241538,289.0,3.33333333333,15.2583333333,91.55,25.5,1.48141448923,20.0,699,1.73582603955,5.86802186052,187.203098265,3.42750756873,0.886863621074,446.204750931,10.54,4,301.333333333,2.53871454498,0.666904470064,-0.169930276316,-0.707106781187,1.60639284129,6.62779166667,51,4,167.0,87.6402777778,0.685682290315,48,1,5,-1.05341303631,2.55,1.62116289683,74.3674584885,0.320161579911,24,1.75666666667,2,11.325,0.0,0.972119334238,8,244.912002337,27.71,2.08166599947,2.68741924943,0.202779698121,8,1.39491370746,12643.0
Germany,2011,21,124,0.916942293609,0.42,6.97861681222,2,2.83717741935,POST,6,8,18.0,10.6290322581,351.81,1318,25,5,3.62322382748,3.09142187728,84,1.29454380005,2.589,4,0.42,3.82425285207,10,8,18.2370835839,6.11228271597,3.64741671678,53.5327272727,9,0.0552823739724,2,8.57661938062,4.51785615395,24.8,18,18.1053311486,2,2011,10125,122,0.90357123079,0.0,14.2258585859,24.8,51.17,3.14118693837,15.7059346918,5.74590568133,0.678114972242,5,-1.0,25,70.362,0.42,3.48187974028,1.02867252167,12.96,2.0,18.0,90.0,8.93939393939,5.55111512313e-17,18.0,324,0.809808295385,0.0,0.489897948557,0.204977055164,0.0552823739724,33.7253744378,2.1,3,263.6,0.185216010503,-0.327341994013,-0.0168031395771,0.287830302881,0.541650341618,2.84517171717,187,5,24.4,10.7065454545,0.342145518071,24,1,5,-0.855327301587,18.0,0.408248290464,6.74507488756,0.359066446415,124,0.42,18,3.07696969697,2.56792811072,3.31439723027,33,63.0320553369,101.54,6.11228271597,0.0,1.35274635484,33,0.0,12518.0
United Kingdom,2011,4,25,3.17542703551,0.39,6.23076239316,1,2.4748,21090,4,11,12.5,5.24,61.87,131,32,1,2.72708359975,2.30976010005,25,0.0,2.4748,4,0.39,2.72708359975,1,11,2.72708359975,0.0,2.72708359975,5.24,4,0.0,1,6.23076239316,3.17542703551,25.0,25,0.0,1,2011,21090,32,3.17542703551,0.0,2.4748,25.0,61.87,2.30976010005,2.30976010005,6.23076239316,0.0,1,0.0,32,61.87,0.39,2.30976010005,0.0,5.24,1.0,12.5,12.5,5.24,0.0,12.5,131,0.0,0.0,0.0,0.0,0.0,6.23076239316,0.39,1,131.0,0.0,0.0,0.0,3.17542703551,0.0,2.4748,131,1,32.0,5.24,0.0,32,1,1,0.0,12.5,0.0,6.23076239316,0.0,25,0.39,25,2.4748,2.30976010005,2.72708359975,25,0.0,61.87,0.0,0.0,3.17542703551,25,0.0,17233.0
United Kingdom,2010,6,54,-0.483366558963,0.0,24.2683401155,-48,2.94148148148,22178,0,12,12.99,18.537037037,158.84,1001,72,15,3.66489876946,1.83448831159,31,28.7168175224,0.876,1,0.0,5.87,5,12,21.1209164151,3.94630628985,1.40806109434,128.707142857,11,2.01688515557,48,24.2831931464,4.22685026756,3.6,1,9.62971198369,-48,2011,22178,332,0.281790017837,0.315287320319,61.0392142857,3.6,1.25,0.441321009941,6.61981514911,0.0,1.12649594682,7,1.83001125571,72,10.5893333333,12.75,1.79757227972,8.96047497796,48.0,0.333333333333,6.43266666667,96.49,-48.0,4.09210654798,12.99,428,0.296656040971,4.8814416814,35.7320895306,3.89453849496,2.01688515557,131.897438477,42.42,4,66.7333333333,1.86830385464,1.8038494195,1.3126615731,-0.84375,-0.630877601504,4.06928095238,-48,11,22.1333333333,8.58047619048,0.653007624091,-48,2,9,1.20449339038,1.25,-0.722294333825,8.79316256516,0.601585178499,54,2.828,1,12.75,0.0,0.0,16,118.363545439,36.55,3.94630628985,27.7744886942,1.7001940081,16,-0.186425484812,15602.0
United Kingdom,2011,13,159,4.70361594895,0.04,11.2183841049,1,1.59106918239,23265,3,10,7.5,6.05660377358,252.98,963,100,4,1.31480327878,1.32954085984,122,6.23480662079,0.886666666667,3,0.04,1.36080981213,23,10,3.51245623222,42.4345083629,0.878114058055,56.165394402,9,1.13178671154,12,13.2664991614,10.4875937011,33.75,6,90.7565998977,1,2011,21137,221,2.62189842528,0.551812114096,5.01030607052,39.75,5.32,0.706536602704,2.82614641082,5.90668171556,1.14296516094,2,-0.831009568855,100,63.245,0.42,1.35406091972,3.0110602535,20.0,5.75,3.775,15.1,3.8320610687,0.149415527975,7.5,502,-0.633232128175,2.4125971483,27.4897708248,0.287671611252,1.13983106192,42.4976687155,1.14,3,240.75,0.422745459096,0.967759383922,0.297188884682,0.408619970845,-0.815387446403,1.25257651763,120,4,55.25,14.0413486005,0.655001913378,25,1,4,-0.00972577947316,1.25,0.736170555948,10.6244171789,2.6403144628,135,0.285,6,1.6806870229,-0.293372037004,0.387025695386,107,155.453168189,220.17,52.7985558515,4.02336923486,7.13227510527,131,0.505252790424,14234.0
United Kingdom,2011,14,73,2.05866544477,0.19,10.6257934919,1,2.15397260274,21484,0,11,8.95,8.50684931507,157.24,621,48,1,1.96017523659,1.71437506225,62,0.0,2.15397260274,0,0.19,1.96017523659,1,11,1.96017523659,0.0,1.96017523659,8.50684931507,14,0.0,1,10.6257934919,2.05866544477,62.0,73,0.0,1,2011,21484,48,2.05866544477,0.0,2.15397260274,73.0,157.24,1.71437506225,1.71437506225,10.6257934919,0.0,1,0.0,48,157.24,0.19,1.71437506225,0.0,8.50684931507,1.0,8.95,8.95,8.50684931507,0.0,8.95,621,0.0,0.0,0.0,0.0,0.0,10.6257934919,0.19,1,621.0,0.0,0.0,0.0,2.05866544477,0.0,2.15397260274,621,1,48.0,8.50684931507,0.0,48,1,1,0.0,8.95,0.0,10.6257934919,0.0,62,0.19,62,2.15397260274,1.71437506225,1.96017523659,62,0.0,157.24,0.0,0.0,2.05866544477,73,0.0,18082.0
