label,time,d3mIndex
False,2011-01-20 16:52:00,13065.0
False,2011-06-23 12:26:00,13524.0
False,2011-12-24 13:26:00,15597.0
False,2011-07-14 11:14:00,14593.0
False,2011-03-02 11:48:00,12643.0
True,2011-10-10 13:18:00,12518.0
False,2011-12-24 14:06:00,17233.0
True,2011-01-25 15:35:00,15602.0
False,2011-12-02 13:58:00,14234.0
False,2012-01-03 12:45:00,18082.0
True,2011-01-20 11:22:00,15513.0
False,2011-06-25 14:16:00,15258.0
False,2011-01-28 10:33:00,18071.0
True,2011-11-16 14:37:00,15568.0
False,2011-04-21 14:46:00,15031.0
False,2011-03-23 09:36:00,17147.0
False,2011-11-18 18:13:00,13364.0
False,2011-09-27 15:00:00,13016.0
False,2011-04-01 11:16:00,15809.0
False,2011-04-08 14:51:00,18138.0
False,2011-12-19 15:58:00,18067.0
False,2011-03-02 09:12:00,14320.0
False,2011-12-12 11:42:00,15000.0
True,2011-05-09 14:41:00,14408.0
False,2011-04-07 10:47:00,14530.0
False,2011-11-29 13:04:00,16776.0
False,2012-01-05 13:16:00,13926.0
False,2011-02-01 09:49:00,13225.0
False,2011-01-26 14:30:00,13173.0
True,2011-01-22 14:40:00,15373.0
False,2011-02-02 10:18:00,13948.0
True,2011-09-02 18:28:00,13994.0
False,2011-12-09 09:04:00,15814.0
True,2011-11-03 14:19:00,15707.0
True,2011-02-25 11:12:00,12415.0
True,2011-11-18 12:39:00,13960.0
False,2011-01-20 11:41:00,14307.0
False,2011-01-26 12:29:00,13569.0
False,2011-05-04 16:47:00,13121.0
False,2011-12-19 13:06:00,16079.0
False,2011-04-26 09:52:00,18280.0
False,2011-12-26 11:22:00,12882.0
False,2011-03-03 12:40:00,16554.0
False,2011-12-28 11:25:00,17219.0
False,2012-01-25 17:18:00,14578.0
False,2011-02-02 13:11:00,16899.0
False,2011-10-13 11:31:00,16723.0
False,2011-04-27 14:35:00,13373.0
False,2011-04-09 10:53:00,12714.0
False,2011-12-03 12:08:00,16413.0
False,2011-04-16 08:44:00,12633.0
True,2011-11-12 13:44:00,16240.0
False,2011-04-06 12:48:00,14035.0
False,2011-12-29 15:52:00,16986.0
False,2011-03-17 14:45:00,16124.0
False,2011-05-31 09:45:00,12656.0
False,2011-12-31 15:08:00,16368.0
False,2011-11-29 13:34:00,13980.0
True,2011-02-02 12:59:00,14298.0
True,2011-06-09 17:10:00,15912.0
False,2012-01-14 11:12:00,12531.0
False,2011-12-05 12:28:00,15994.0
False,2012-01-13 12:53:00,12784.0
True,2011-04-19 15:19:00,14056.0
False,2011-05-05 08:31:00,12994.0
False,2011-12-13 15:43:00,13176.0
False,2011-03-21 13:36:00,14595.0
False,2011-01-28 12:49:00,14440.0
False,2011-04-26 12:17:00,16225.0
False,2011-05-20 17:59:00,14957.0
False,2011-05-03 09:37:00,15671.0
False,2011-12-17 13:55:00,18030.0
True,2011-06-09 12:28:00,16103.0
False,2012-01-24 15:44:00,16597.0
True,2011-03-22 14:35:00,12778.0
True,2011-07-08 13:28:00,16813.0
True,2011-03-07 10:56:00,16401.0
False,2012-01-21 10:41:00,12558.0
False,2011-07-30 09:10:00,13686.0
False,2011-05-16 11:44:00,15045.0
False,2012-01-17 13:56:00,17379.0
False,2011-12-29 17:11:00,15450.0
False,2011-03-08 11:57:00,15296.0
False,2011-03-18 17:41:00,14662.0
True,2011-07-04 11:30:00,15440.0
False,2011-12-26 12:32:00,16445.0
False,2011-09-17 15:59:00,13928.0
False,2011-06-15 16:53:00,17854.0
True,2011-04-19 12:46:00,16668.0
False,2011-02-04 12:46:00,15394.0
False,2011-02-02 11:55:00,16262.0
False,2011-01-28 11:30:00,13369.0
False,2011-01-24 11:04:00,16241.0
False,2011-11-02 16:40:00,13032.0
False,2011-08-04 12:24:00,13343.0
False,2011-12-28 15:45:00,17313.0
False,2011-03-16 12:45:00,14389.0
False,2011-11-23 10:15:00,13801.0
True,2011-02-02 11:51:00,16458.0
False,2011-03-23 12:29:00,15203.0
False,2011-03-30 10:12:00,14475.0
False,2011-01-25 12:31:00,18113.0
False,2011-12-01 11:08:00,14642.0
False,2011-11-29 14:02:00,15553.0
False,2011-12-16 11:24:00,17878.0
False,2011-06-15 10:54:00,15108.0
False,2011-12-12 16:13:00,14629.0
False,2011-07-01 09:49:00,14883.0
False,2011-05-03 11:46:00,16005.0
False,2011-03-03 13:27:00,14715.0
False,2011-12-10 11:06:00,14967.0
False,2011-01-28 14:56:00,15192.0
False,2011-08-30 10:14:00,13678.0
False,2011-01-26 13:18:00,15965.0
False,2011-04-21 12:10:00,15067.0
False,2011-01-20 12:31:00,17897.0
False,2011-08-01 10:53:00,18281.0
False,2011-04-09 09:04:00,15228.0
False,2011-06-06 11:56:00,15172.0
False,2011-02-23 15:43:00,13253.0
False,2011-06-10 15:16:00,13223.0
False,2011-11-18 17:52:00,12703.0
True,2011-07-29 12:04:00,14132.0
False,2011-06-25 13:43:00,13741.0
False,2011-09-08 11:23:00,15802.0
False,2011-03-01 14:16:00,16303.0
False,2011-08-23 15:26:00,18265.0
False,2011-11-05 17:39:00,16878.0
False,2011-12-29 14:56:00,12504.0
True,2011-11-23 11:36:00,17014.0
False,2012-01-13 14:42:00,17767.0
False,2012-01-27 13:11:00,13298.0
False,2011-06-02 14:31:00,17746.0
True,2011-06-27 12:42:00,15704.0
False,2011-03-26 14:51:00,14194.0
False,2011-02-01 15:16:00,17375.0
